,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
1/20/2015,2020.76,2028.94,2004.49,2022.55,0.15%,0.0147%,0.0001%,0.0074%,0.07%,0.40%,-0.81%,0.09%,0.01%,,,,,,,,
1/21/2015,2020.19,2038.29,2012.04,2032.12,0.47%,0.0168%,0.0035%,0.0097%,-0.12%,0.89%,-0.40%,0.59%,0.01%,,,,,,,,
1/22/2015,2034.3,2064.62,2026.38,2063.15,1.53%,0.0350%,0.0198%,0.0251%,0.11%,1.48%,-0.39%,1.41%,0.01%,,,,,,,,
1/23/2015,2062.98,2062.98,2050.54,2051.82,-0.55%,0.0037%,0.0029%,0.0030%,-0.01%,0.00%,-0.60%,-0.54%,0.00%,,,,,,,,
1/26/2015,2050.42,2057.62,2040.97,2057.09,0.26%,0.0066%,0.0011%,0.0037%,-0.07%,0.35%,-0.46%,0.32%,0.00%,,,,,,,,
1/27/2015,2047.86,2047.86,2019.91,2029.55,-1.34%,0.0189%,0.0081%,0.0126%,-0.45%,0.00%,-1.37%,-0.90%,0.01%,,,,,,,,
1/28/2015,2032.34,2042.49,2001.49,2002.16,-1.35%,0.0411%,0.0224%,0.0292%,0.14%,0.50%,-1.53%,-1.50%,0.01%,,,,,,,,
1/29/2015,2002.45,2024.64,1989.18,2021.25,0.95%,0.0312%,0.0087%,0.0190%,0.01%,1.10%,-0.66%,0.93%,0.01%,,,,,,,,
1/30/2015,2019.35,2023.32,1993.38,1994.99,-1.30%,0.0222%,0.0147%,0.0168%,-0.09%,0.20%,-1.29%,-1.21%,0.00%,,,,,,,,
2/2/2015,1996.67,2021.66,1980.9,2020.85,1.30%,0.0415%,0.0145%,0.0263%,0.08%,1.24%,-0.79%,1.20%,0.02%,,,,,,,,
2/3/2015,2022.71,2050.3,2022.71,2050.03,1.44%,0.0184%,0.0180%,0.0161%,0.09%,1.35%,0.00%,1.34%,0.00%,,,,,,,,
2/4/2015,2048.86,2054.74,2036.72,2041.51,-0.42%,0.0078%,0.0013%,0.0044%,-0.06%,0.29%,-0.59%,-0.36%,0.00%,,,,,,,,
2/5/2015,2043.45,2063.55,2043.45,2062.52,1.03%,0.0096%,0.0086%,0.0081%,0.09%,0.98%,0.00%,0.93%,0.00%,,,,,,,,
2/6/2015,2062.28,2072.4,2049.97,2055.47,-0.34%,0.0118%,0.0011%,0.0063%,-0.01%,0.49%,-0.60%,-0.33%,0.01%,,,,,,,,
2/9/2015,2053.47,2056.16,2041.88,2046.74,-0.42%,0.0049%,0.0011%,0.0028%,-0.10%,0.13%,-0.57%,-0.33%,0.00%,,,,,,,,
2/10/2015,2049.38,2070.86,2048.62,2068.59,1.07%,0.0117%,0.0087%,0.0092%,0.13%,1.04%,-0.04%,0.93%,0.00%,,,,,,,,
2/11/2015,2068.55,2073.48,2057.99,2068.53,0.00%,0.0056%,0.0000%,0.0028%,0.00%,0.24%,-0.51%,0.00%,0.00%,,,,,,,,
2/12/2015,2069.98,2088.53,2069.98,2088.48,0.96%,0.0080%,0.0079%,0.0070%,0.07%,0.89%,0.00%,0.89%,0.00%,,,,,,,,
2/13/2015,2088.78,2097.03,2086.7,2096.99,0.41%,0.0024%,0.0015%,0.0018%,0.01%,0.39%,-0.10%,0.39%,0.00%,,,,,,,,
2/17/2015,2096.47,2101.3,2089.8,2100.34,0.16%,0.0030%,0.0003%,0.0016%,-0.02%,0.23%,-0.32%,0.18%,0.00%,,,,,,,,
2/18/2015,2099.16,2100.23,2092.15,2099.68,-0.03%,0.0015%,0.0000%,0.0007%,-0.06%,0.05%,-0.33%,0.02%,0.00%,,,,,,,,
2/19/2015,2099.25,2102.13,2090.79,2097.45,-0.11%,0.0029%,0.0001%,0.0015%,-0.02%,0.14%,-0.40%,-0.09%,0.00%,,,,,,,,
2/20/2015,2097.65,2110.61,2085.44,2110.3,0.61%,0.0144%,0.0036%,0.0086%,0.01%,0.62%,-0.58%,0.60%,0.01%,,,,,,,,
2/23/2015,2109.83,2110.05,2103,2109.66,-0.03%,0.0011%,0.0000%,0.0006%,-0.02%,0.01%,-0.32%,-0.01%,0.00%,,,,,,,,
2/24/2015,2109.1,2117.94,2105.87,2115.48,0.28%,0.0033%,0.0009%,0.0020%,-0.03%,0.42%,-0.15%,0.30%,0.00%,,,,,,,,
2/25/2015,2115.3,2119.59,2109.89,2113.86,-0.08%,0.0021%,0.0000%,0.0011%,-0.01%,0.20%,-0.26%,-0.07%,0.00%,,,,,,,,
2/26/2015,2113.91,2113.91,2103.76,2110.74,-0.15%,0.0023%,0.0002%,0.0012%,0.00%,0.00%,-0.48%,-0.15%,0.00%,,,,,,,,
2/27/2015,2110.88,2112.74,2103.75,2104.5,-0.30%,0.0018%,0.0009%,0.0013%,0.01%,0.09%,-0.34%,-0.30%,0.00%,,,,,,,,
3/2/2015,2105.23,2117.52,2104.5,2117.39,0.61%,0.0038%,0.0033%,0.0032%,0.03%,0.58%,-0.03%,0.58%,0.00%,,,,,,,,
3/3/2015,2115.76,2115.76,2098.26,2107.78,-0.45%,0.0069%,0.0014%,0.0040%,-0.08%,0.00%,-0.83%,-0.38%,0.00%,,,,,,,,
3/4/2015,2107.72,2107.72,2087.62,2098.53,-0.44%,0.0092%,0.0019%,0.0053%,0.00%,0.00%,-0.96%,-0.44%,0.00%,,,,,,,,
3/5/2015,2098.54,2104.25,2095.22,2101.04,0.12%,0.0018%,0.0001%,0.0010%,0.00%,0.27%,-0.16%,0.12%,0.00%,,,,,,,,
3/6/2015,2100.91,2100.91,2067.27,2071.26,-1.42%,0.0261%,0.0202%,0.0208%,-0.01%,0.00%,-1.61%,-1.42%,0.00%,,,,,,,,
3/9/2015,2072.25,2083.49,2072.21,2079.43,0.39%,0.0029%,0.0012%,0.0019%,0.05%,0.54%,0.00%,0.35%,0.00%,,,,,,,,
3/10/2015,2076.14,2076.14,2044.16,2044.16,-1.70%,0.0241%,0.0241%,0.0214%,-0.16%,0.00%,-1.55%,-1.55%,0.00%,,,,,,,,
3/11/2015,2044.69,2050.08,2039.69,2040.24,-0.19%,0.0026%,0.0005%,0.0015%,0.03%,0.26%,-0.24%,-0.22%,0.00%,,,,,,,,
3/12/2015,2041.1,2066.41,2041.1,2065.95,1.26%,0.0152%,0.0146%,0.0133%,0.04%,1.23%,0.00%,1.21%,0.00%,,,,,,,,
3/13/2015,2064.56,2064.56,2041.17,2053.4,-0.61%,0.0130%,0.0029%,0.0076%,-0.07%,0.00%,-1.14%,-0.54%,0.01%,,,,,,,,
3/16/2015,2055.35,2081.41,2055.35,2081.19,1.35%,0.0159%,0.0156%,0.0140%,0.09%,1.26%,0.00%,1.25%,0.00%,,,,,,,,
3/17/2015,2080.59,2080.59,2065.08,2074.28,-0.33%,0.0056%,0.0009%,0.0032%,-0.03%,0.00%,-0.75%,-0.30%,0.00%,,,,,,,,
3/18/2015,2072.84,2106.85,2061.23,2099.5,1.22%,0.0479%,0.0163%,0.0303%,-0.07%,1.63%,-0.56%,1.28%,0.02%,,,,,,,,
3/19/2015,2098.69,2098.69,2085.56,2089.27,-0.49%,0.0039%,0.0020%,0.0028%,-0.04%,0.00%,-0.63%,-0.45%,0.00%,,,,,,,,
