,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
8/21/2015,2034.08,2034.08,1970.89,1970.89,-3.19%,0.0996%,0.0996%,0.0883%,-0.08%,0.00%,-3.16%,-3.16%,0.00%,,,,,,,,
8/24/2015,1965.15,1965.15,1867.01,1893.21,-3.94%,0.2625%,0.1391%,0.1850%,-0.29%,0.00%,-5.12%,-3.73%,0.07%,,,,,,,,
8/25/2015,1898.08,1948.04,1867.08,1867.61,-1.35%,0.1802%,0.0262%,0.1002%,0.26%,2.60%,-1.65%,-1.62%,0.11%,,,,,,,,
8/26/2015,1872.75,1943.09,1872.75,1940.51,3.90%,0.1360%,0.1263%,0.1168%,0.27%,3.69%,0.00%,3.55%,0.00%,,,,,,,,
8/27/2015,1942.77,1989.6,1942.77,1987.66,2.43%,0.0567%,0.0522%,0.0485%,0.12%,2.38%,0.00%,2.28%,0.00%,,,,,,,,
8/28/2015,1986.06,1993.48,1975.19,1988.87,0.06%,0.0085%,0.0002%,0.0043%,-0.08%,0.37%,-0.55%,0.14%,0.00%,,,,,,,,
8/31/2015,1986.73,1986.73,1965.98,1972.18,-0.84%,0.0110%,0.0054%,0.0076%,-0.11%,0.00%,-1.05%,-0.74%,0.00%,,,,,,,,
9/1/2015,1970.09,1970.09,1903.07,1913.85,-2.96%,0.1198%,0.0839%,0.0923%,-0.11%,0.00%,-3.46%,-2.90%,0.02%,,,,,,,,
9/2/2015,1916.52,1948.91,1916.52,1948.86,1.83%,0.0281%,0.0280%,0.0249%,0.14%,1.68%,0.00%,1.67%,0.00%,,,,,,,,
9/3/2015,1950.79,1975.01,1944.72,1951.13,0.12%,0.0239%,0.0000%,0.0119%,0.10%,1.23%,-0.31%,0.02%,0.02%,,,,,,,,
9/4/2015,1947.76,1947.76,1911.21,1921.22,-1.53%,0.0359%,0.0188%,0.0252%,-0.17%,0.00%,-1.89%,-1.37%,0.01%,,,,,,,,
9/8/2015,1927.3,1970.42,1927.3,1969.41,2.51%,0.0490%,0.0467%,0.0425%,0.32%,2.21%,0.00%,2.16%,0.00%,,,,,,,,
9/9/2015,1971.45,1988.63,1937.88,1942.04,-1.39%,0.0668%,0.0226%,0.0421%,0.10%,0.87%,-1.72%,-1.50%,0.02%,,,,,,,,
9/10/2015,1941.59,1965.29,1937.19,1952.29,0.53%,0.0207%,0.0030%,0.0115%,-0.02%,1.21%,-0.23%,0.55%,0.01%,,,,,,,,
9/11/2015,1951.45,1961.05,1939.19,1961.05,0.45%,0.0126%,0.0024%,0.0072%,-0.04%,0.49%,-0.63%,0.49%,0.01%,,,,,,,,
9/14/2015,1963.06,1963.06,1948.27,1953.03,-0.41%,0.0057%,0.0026%,0.0039%,0.10%,0.00%,-0.76%,-0.51%,0.00%,,,,,,,,
9/15/2015,1955.1,1983.19,1954.3,1978.09,1.28%,0.0215%,0.0137%,0.0160%,0.11%,1.43%,-0.04%,1.17%,0.00%,,,,,,,,
9/16/2015,1978.02,1997.26,1977.93,1995.31,0.87%,0.0095%,0.0076%,0.0077%,0.00%,0.97%,0.00%,0.87%,0.00%,,,,,,,,
9/17/2015,1995.33,2020.86,1986.73,1990.2,-0.26%,0.0290%,0.0007%,0.0148%,0.00%,1.27%,-0.43%,-0.26%,0.02%,,,,,,,,
9/18/2015,1989.66,1989.66,1953.45,1958.03,-1.62%,0.0337%,0.0257%,0.0268%,-0.03%,0.00%,-1.84%,-1.60%,0.00%,,,,,,,,
9/21/2015,1960.84,1979.64,1955.8,1966.97,0.46%,0.0147%,0.0010%,0.0077%,0.14%,0.95%,-0.26%,0.31%,0.01%,,,,,,,,
9/22/2015,1961.39,1961.39,1929.22,1942.74,-1.23%,0.0273%,0.0091%,0.0172%,-0.28%,0.00%,-1.65%,-0.96%,0.01%,,,,,,,,
9/23/2015,1943.24,1949.52,1932.57,1938.76,-0.20%,0.0076%,0.0005%,0.0040%,0.03%,0.32%,-0.55%,-0.23%,0.00%,,,,,,,,
9/24/2015,1934.81,1937.17,1908.92,1932.24,-0.34%,0.0216%,0.0002%,0.0109%,-0.20%,0.12%,-1.35%,-0.13%,0.02%,,,,,,,,
9/25/2015,1935.93,1952.89,1921.5,1931.34,-0.05%,0.0263%,0.0006%,0.0133%,0.19%,0.87%,-0.75%,-0.24%,0.01%,,,,,,,,
9/28/2015,1929.18,1929.18,1879.21,1881.77,-2.57%,0.0689%,0.0619%,0.0584%,-0.11%,0.00%,-2.62%,-2.49%,0.00%,,,,,,,,
9/29/2015,1881.9,1899.48,1871.91,1884.09,0.12%,0.0214%,0.0001%,0.0107%,0.01%,0.93%,-0.53%,0.12%,0.01%,,,,,,,,
9/30/2015,1887.14,1920.53,1887.14,1920.03,1.91%,0.0308%,0.0299%,0.0269%,0.16%,1.75%,0.00%,1.73%,0.00%,,,,,,,,
10/1/2015,1919.65,1927.21,1900.7,1923.82,0.20%,0.0192%,0.0005%,0.0098%,-0.02%,0.39%,-0.99%,0.22%,0.01%,,,,,,,,
10/2/2015,1921.77,1951.36,1893.7,1951.36,1.43%,0.0900%,0.0233%,0.0540%,-0.11%,1.53%,-1.47%,1.53%,0.04%,,,,,,,,
10/5/2015,1954.33,1989.17,1954.33,1987.05,1.83%,0.0312%,0.0276%,0.0263%,0.15%,1.77%,0.00%,1.66%,0.00%,,,,,,,,
10/6/2015,1986.63,1991.62,1971.99,1979.92,-0.36%,0.0098%,0.0011%,0.0053%,-0.02%,0.25%,-0.74%,-0.34%,0.00%,,,,,,,,
10/7/2015,1982.34,1999.31,1976.44,1995.83,0.80%,0.0132%,0.0046%,0.0084%,0.12%,0.85%,-0.30%,0.68%,0.00%,,,,,,,,
10/8/2015,1994.01,2016.5,1987.53,2013.43,0.88%,0.0209%,0.0094%,0.0141%,-0.09%,1.12%,-0.33%,0.97%,0.01%,,,,,,,,
10/9/2015,2013.73,2020.13,2007.61,2014.89,0.07%,0.0039%,0.0000%,0.0019%,0.01%,0.32%,-0.30%,0.06%,0.00%,,,,,,,,
10/12/2015,2015.65,2018.66,2010.55,2017.46,0.13%,0.0016%,0.0001%,0.0008%,0.04%,0.15%,-0.25%,0.09%,0.00%,,,,,,,,
10/13/2015,2015,2022.34,2001.78,2003.69,-0.68%,0.0104%,0.0032%,0.0064%,-0.12%,0.36%,-0.66%,-0.56%,0.00%,,,,,,,,
10/14/2015,2003.66,2009.56,1990.73,1994.24,-0.47%,0.0089%,0.0022%,0.0053%,0.00%,0.29%,-0.65%,-0.47%,0.00%,,,,,,,,
10/15/2015,1996.47,2024.15,1996.47,2023.86,1.49%,0.0190%,0.0186%,0.0167%,0.11%,1.38%,0.00%,1.36%,0.00%,,,,,,,,
10/16/2015,2024.37,2033.54,2020.46,2033.11,0.46%,0.0042%,0.0019%,0.0028%,0.03%,0.45%,-0.19%,0.43%,0.00%,,,,,,,,
10/19/2015,2031.73,2034.45,2022.31,2033.66,0.03%,0.0036%,0.0001%,0.0018%,-0.07%,0.13%,-0.46%,0.09%,0.00%,,,,,,,,
10/20/2015,2033.13,2039.12,2026.61,2030.77,-0.14%,0.0038%,0.0001%,0.0019%,-0.03%,0.29%,-0.32%,-0.12%,0.00%,,,,,,,,
10/21/2015,2033.47,2037.97,2017.22,2018.94,-0.58%,0.0105%,0.0051%,0.0072%,0.13%,0.22%,-0.80%,-0.72%,0.00%,,,,,,,,
10/22/2015,2021.88,2055.2,2021.88,2052.51,1.66%,0.0267%,0.0226%,0.0221%,0.15%,1.63%,0.00%,1.50%,0.00%,,,,,,,,
10/23/2015,2058.19,2079.74,2058.19,2075.15,1.10%,0.0108%,0.0067%,0.0080%,0.28%,1.04%,0.00%,0.82%,0.00%,,,,,,,,
10/26/2015,2075.08,2075.14,2066.53,2071.18,-0.19%,0.0017%,0.0004%,0.0010%,0.00%,0.00%,-0.41%,-0.19%,0.00%,,,,,,,,
10/27/2015,2068.75,2070.37,2058.84,2065.89,-0.26%,0.0031%,0.0002%,0.0016%,-0.12%,0.08%,-0.48%,-0.14%,0.00%,,,,,,,,
10/28/2015,2066.48,2090.35,2063.11,2090.35,1.18%,0.0172%,0.0132%,0.0137%,0.03%,1.15%,-0.16%,1.15%,0.00%,,,,,,,,
10/29/2015,2088.35,2092.52,2082.63,2089.41,-0.04%,0.0022%,0.0000%,0.0011%,-0.10%,0.20%,-0.27%,0.05%,0.00%,,,,,,,,
10/30/2015,2090,2094.32,2079.34,2079.36,-0.48%,0.0052%,0.0026%,0.0036%,0.03%,0.21%,-0.51%,-0.51%,0.00%,,,,,,,,
11/2/2015,2080.76,2106.2,2080.76,2104.05,1.19%,0.0148%,0.0124%,0.0122%,0.07%,1.22%,0.00%,1.11%,0.00%,,,,,,,,
11/3/2015,2102.63,2116.48,2097.51,2109.79,0.27%,0.0081%,0.0012%,0.0045%,-0.07%,0.66%,-0.24%,0.34%,0.00%,,,,,,,,
11/4/2015,2110.6,2114.59,2096.98,2102.31,-0.35%,0.0070%,0.0015%,0.0041%,0.04%,0.19%,-0.65%,-0.39%,0.00%,,,,,,,,
11/5/2015,2101.68,2108.78,2090.41,2099.93,-0.11%,0.0077%,0.0001%,0.0039%,-0.03%,0.34%,-0.54%,-0.08%,0.00%,,,,,,,,
11/6/2015,2098.6,2101.91,2083.74,2099.2,-0.03%,0.0075%,0.0000%,0.0038%,-0.06%,0.16%,-0.71%,0.03%,0.01%,,,,,,,,
11/9/2015,2096.56,2096.56,2068.24,2078.58,-0.98%,0.0185%,0.0074%,0.0121%,-0.13%,0.00%,-1.36%,-0.86%,0.01%,,,,,,,,
11/10/2015,2077.19,2083.67,2069.91,2081.72,0.15%,0.0044%,0.0005%,0.0024%,-0.07%,0.31%,-0.35%,0.22%,0.00%,,,,,,,,
11/11/2015,2083.41,2086.94,2074.85,2075,-0.32%,0.0034%,0.0016%,0.0023%,0.08%,0.17%,-0.41%,-0.40%,0.00%,,,,,,,,
11/12/2015,2072.29,2072.29,2045.66,2045.97,-1.40%,0.0167%,0.0163%,0.0147%,-0.13%,0.00%,-1.29%,-1.28%,0.00%,,,,,,,,
11/13/2015,2044.64,2044.64,2022.02,2023.04,-1.12%,0.0124%,0.0113%,0.0105%,-0.07%,0.00%,-1.11%,-1.06%,0.00%,,,,,,,,
11/16/2015,2022.08,2053.22,2019.39,2053.19,1.49%,0.0276%,0.0233%,0.0228%,-0.05%,1.53%,-0.13%,1.53%,0.00%,,,,,,,,
11/17/2015,2053.67,2066.69,2045.9,2050.44,-0.13%,0.0102%,0.0002%,0.0052%,0.02%,0.63%,-0.38%,-0.16%,0.01%,,,,,,,,
11/18/2015,2051.99,2085.31,2051.99,2083.58,1.62%,0.0259%,0.0233%,0.0220%,0.08%,1.61%,0.00%,1.53%,0.00%,,,,,,,,
11/19/2015,2083.7,2086.74,2078.76,2081.24,-0.11%,0.0015%,0.0001%,0.0008%,0.01%,0.15%,-0.24%,-0.12%,0.00%,,,,,,,,
11/20/2015,2082.82,2097.06,2082.82,2089.17,0.38%,0.0046%,0.0009%,0.0027%,0.08%,0.68%,0.00%,0.30%,0.00%,,,,,,,,
11/23/2015,2089.41,2095.61,2081.39,2086.59,-0.12%,0.0046%,0.0002%,0.0024%,0.01%,0.30%,-0.38%,-0.14%,0.00%,,,,,,,,
11/24/2015,2084.42,2094.12,2070.29,2089.14,0.12%,0.0131%,0.0005%,0.0067%,-0.10%,0.46%,-0.68%,0.23%,0.01%,,,,,,,,
11/25/2015,2089.3,2093,2086.3,2088.87,-0.01%,0.0010%,0.0000%,0.0005%,0.01%,0.18%,-0.14%,-0.02%,0.00%,,,,,,,,
11/27/2015,2088.82,2093.29,2084.13,2090.11,0.06%,0.0019%,0.0000%,0.0010%,0.00%,0.21%,-0.22%,0.06%,0.00%,,,,,,,,
11/30/2015,2090.95,2093.81,2080.41,2080.41,-0.46%,0.0041%,0.0026%,0.0030%,0.04%,0.14%,-0.51%,-0.51%,0.00%,,,,,,,,
12/1/2015,2082.93,2103.37,2082.93,2102.63,1.07%,0.0095%,0.0089%,0.0082%,0.12%,0.98%,0.00%,0.94%,0.00%,,,,,,,,
12/2/2015,2101.71,2104.27,2077.11,2079.51,-1.10%,0.0169%,0.0113%,0.0128%,-0.04%,0.12%,-1.18%,-1.06%,0.00%,,,,,,,,
12/3/2015,2080.71,2085,2042.35,2049.62,-1.44%,0.0427%,0.0227%,0.0301%,0.06%,0.21%,-1.86%,-1.51%,0.01%,,,,,,,,
12/4/2015,2051.24,2093.84,2051.24,2091.69,2.05%,0.0423%,0.0381%,0.0359%,0.08%,2.06%,0.00%,1.95%,0.00%,,,,,,,,
12/7/2015,2090.42,2090.42,2066.78,2077.07,-0.70%,0.0129%,0.0041%,0.0081%,-0.06%,0.00%,-1.14%,-0.64%,0.01%,,,,,,,,
12/8/2015,2073.39,2073.85,2052.32,2063.59,-0.65%,0.0109%,0.0022%,0.0063%,-0.18%,0.02%,-1.02%,-0.47%,0.01%,,,,,,,,
12/9/2015,2061.17,2080.33,2036.53,2047.62,-0.77%,0.0453%,0.0044%,0.0243%,-0.12%,0.93%,-1.20%,-0.66%,0.02%,,,,,,,,
12/10/2015,2047.93,2067.65,2045.67,2052.23,0.23%,0.0114%,0.0004%,0.0059%,0.02%,0.96%,-0.11%,0.21%,0.01%,,,,,,,,
12/11/2015,2047.27,2047.27,2008.8,2012.37,-1.94%,0.0360%,0.0296%,0.0294%,-0.24%,0.00%,-1.90%,-1.72%,0.00%,,,,,,,,
12/14/2015,2013.37,2022.92,1993.26,2021.94,0.48%,0.0218%,0.0018%,0.0116%,0.05%,0.47%,-1.00%,0.42%,0.01%,,,,,,,,
12/15/2015,2025.55,2053.87,2025.55,2043.41,1.06%,0.0193%,0.0077%,0.0126%,0.18%,1.39%,0.00%,0.88%,0.01%,,,,,,,,
12/16/2015,2046.5,2076.72,2042.43,2073.07,1.45%,0.0277%,0.0166%,0.0203%,0.15%,1.47%,-0.20%,1.29%,0.01%,,,,,,,,
12/17/2015,2073.76,2076.37,2041.66,2041.89,-1.50%,0.0284%,0.0240%,0.0235%,0.03%,0.13%,-1.56%,-1.55%,0.00%,,,,,,,,
12/18/2015,2040.81,2040.81,2005.33,2005.55,-1.78%,0.0308%,0.0304%,0.0271%,-0.05%,0.00%,-1.75%,-1.74%,0.00%,,,,,,,,
12/21/2015,2010.27,2022.9,2005.93,2021.15,0.78%,0.0071%,0.0029%,0.0047%,0.24%,0.63%,-0.22%,0.54%,0.00%,,,,,,,,
12/22/2015,2023.15,2042.74,2020.49,2038.97,0.88%,0.0120%,0.0061%,0.0083%,0.10%,0.96%,-0.13%,0.78%,0.00%,,,,,,,,
12/23/2015,2042.2,2064.73,2042.2,2064.29,1.24%,0.0120%,0.0116%,0.0105%,0.16%,1.10%,0.00%,1.08%,0.00%,,,,,,,,
12/24/2015,2063.52,2067.36,2058.73,2060.99,-0.16%,0.0017%,0.0002%,0.0009%,-0.04%,0.19%,-0.23%,-0.12%,0.00%,,,,,,,,
12/28/2015,2057.77,2057.77,2044.2,2056.5,-0.22%,0.0044%,0.0000%,0.0022%,-0.16%,0.00%,-0.66%,-0.06%,0.00%,,,,,,,,
12/29/2015,2060.54,2081.56,2060.54,2078.36,1.06%,0.0103%,0.0074%,0.0080%,0.20%,1.01%,0.00%,0.86%,0.00%,,,,,,,,
12/30/2015,2077.34,2077.34,2061.97,2063.36,-0.72%,0.0055%,0.0046%,0.0045%,-0.05%,0.00%,-0.74%,-0.68%,0.00%,,,,,,,,
12/31/2015,2060.59,2062.54,2043.62,2043.94,-0.94%,0.0085%,0.0066%,0.0068%,-0.13%,0.09%,-0.83%,-0.81%,0.00%,,,,,,,,
1/4/2016,2038.2,2038.2,1989.68,2012.66,-1.53%,0.0580%,0.0159%,0.0352%,-0.28%,0.00%,-2.41%,-1.26%,0.03%,,,,,,,,
1/5/2016,2013.78,2021.94,2004.17,2016.71,0.20%,0.0078%,0.0002%,0.0040%,0.06%,0.40%,-0.48%,0.15%,0.00%,,,,,,,,
1/6/2016,2011.71,2011.71,1979.05,1990.26,-1.31%,0.0268%,0.0115%,0.0178%,-0.25%,0.00%,-1.64%,-1.07%,0.01%,,,,,,,,
1/7/2016,1985.32,1985.32,1938.83,1943.09,-2.37%,0.0561%,0.0462%,0.0459%,-0.25%,0.00%,-2.37%,-2.15%,0.01%,,,,,,,,
1/8/2016,1945.97,1960.4,1918.46,1922.03,-1.08%,0.0468%,0.0153%,0.0293%,0.15%,0.74%,-1.42%,-1.24%,0.02%,,,,,,,,
1/11/2016,1926.12,1935.65,1901.1,1923.67,0.09%,0.0324%,0.0002%,0.0163%,0.21%,0.49%,-1.31%,-0.13%,0.02%,,,,,,,,
1/12/2016,1927.83,1947.38,1914.35,1938.68,0.78%,0.0293%,0.0031%,0.0158%,0.22%,1.01%,-0.70%,0.56%,0.01%,,,,,,,,
1/13/2016,1940.34,1950.33,1886.41,1890.28,-2.50%,0.1110%,0.0683%,0.0819%,0.09%,0.51%,-2.82%,-2.61%,0.02%,,,,,,,,
1/14/2016,1891.68,1934.47,1878.93,1921.84,1.67%,0.0849%,0.0250%,0.0521%,0.07%,2.24%,-0.68%,1.58%,0.03%,,,,,,,,
1/15/2016,1916.68,1916.68,1857.83,1880.33,-2.16%,0.0973%,0.0367%,0.0628%,-0.27%,0.00%,-3.12%,-1.91%,0.04%,,,,,,,,
1/19/2016,1888.66,1901.44,1864.6,1881.33,0.05%,0.0383%,0.0015%,0.0197%,0.44%,0.67%,-1.28%,-0.39%,0.02%,,,,,,,,
1/20/2016,1876.18,1876.18,1812.29,1859.33,-1.17%,0.1200%,0.0081%,0.0632%,-0.27%,0.00%,-3.46%,-0.90%,0.09%,,,,,,,,
1/21/2016,1861.46,1889.85,1848.98,1868.99,0.52%,0.0478%,0.0016%,0.0245%,0.11%,1.51%,-0.67%,0.40%,0.02%,,,,,,,,
1/22/2016,1877.4,1908.85,1877.4,1906.9,2.03%,0.0276%,0.0243%,0.0232%,0.45%,1.66%,0.00%,1.56%,0.00%,,,,,,,,
1/25/2016,1906.28,1906.28,1875.97,1877.08,-1.56%,0.0257%,0.0238%,0.0220%,-0.03%,0.00%,-1.60%,-1.54%,0.00%,,,,,,,,
1/26/2016,1878.79,1906.73,1878.79,1903.63,1.41%,0.0218%,0.0173%,0.0176%,0.09%,1.48%,0.00%,1.31%,0.00%,,,,,,,,
1/27/2016,1902.52,1916.99,1872.7,1882.95,-1.09%,0.0546%,0.0107%,0.0314%,-0.06%,0.76%,-1.58%,-1.03%,0.02%,,,,,,,,
1/28/2016,1885.22,1902.96,1873.65,1893.36,0.55%,0.0241%,0.0019%,0.0128%,0.12%,0.94%,-0.62%,0.43%,0.01%,,,,,,,,
1/29/2016,1894,1940.24,1894,1940.24,2.48%,0.0582%,0.0582%,0.0516%,0.03%,2.41%,0.00%,2.41%,0.00%,,,,,,,,
2/1/2016,1936.94,1947.2,1920.3,1939.38,-0.04%,0.0194%,0.0002%,0.0097%,-0.17%,0.53%,-0.86%,0.13%,0.01%,,,,,,,,
2/2/2016,1935.26,1935.26,1897.29,1903.03,-1.87%,0.0393%,0.0282%,0.0305%,-0.21%,0.00%,-1.98%,-1.68%,0.01%,,,,,,,,
2/3/2016,1907.07,1918.01,1872.23,1912.53,0.50%,0.0584%,0.0008%,0.0295%,0.21%,0.57%,-1.84%,0.29%,0.04%,,,,,,,,
2/4/2016,1911.67,1927.35,1900.52,1915.45,0.15%,0.0197%,0.0004%,0.0100%,-0.04%,0.82%,-0.58%,0.20%,0.01%,,,,,,,,
2/5/2016,1913.07,1913.07,1872.65,1880.05,-1.85%,0.0456%,0.0303%,0.0345%,-0.12%,0.00%,-2.14%,-1.74%,0.01%,,,,,,,,
2/8/2016,1873.25,1873.25,1828.46,1853.44,-1.42%,0.0586%,0.0113%,0.0337%,-0.36%,0.00%,-2.42%,-1.06%,0.03%,,,,,,,,
2/9/2016,1848.46,1868.25,1834.94,1852.21,-0.07%,0.0324%,0.0004%,0.0163%,-0.27%,1.06%,-0.73%,0.20%,0.02%,,,,,,,,
2/10/2016,1857.1,1881.6,1850.32,1851.86,-0.02%,0.0281%,0.0008%,0.0144%,0.26%,1.31%,-0.37%,-0.28%,0.02%,,,,,,,,
2/11/2016,1847,1847,1810.1,1829.08,-1.23%,0.0407%,0.0095%,0.0240%,-0.26%,0.00%,-2.02%,-0.97%,0.02%,,,,,,,,
2/12/2016,1833.4,1864.78,1833.4,1864.78,1.95%,0.0288%,0.0288%,0.0255%,0.24%,1.70%,0.00%,1.70%,0.00%,,,,,,,,
2/16/2016,1871.44,1895.77,1871.44,1895.58,1.65%,0.0167%,0.0164%,0.0147%,0.36%,1.29%,0.00%,1.28%,0.00%,,,,,,,,
2/17/2016,1898.8,1930.68,1898.8,1926.82,1.65%,0.0277%,0.0215%,0.0222%,0.17%,1.67%,0.00%,1.46%,0.00%,,,,,,,,
2/18/2016,1927.57,1930,1915.09,1917.83,-0.47%,0.0060%,0.0026%,0.0040%,0.04%,0.13%,-0.65%,-0.51%,0.00%,,,,,,,,
2/19/2016,1916.74,1918.78,1902.17,1917.78,0.00%,0.0076%,0.0000%,0.0038%,-0.06%,0.11%,-0.76%,0.05%,0.01%,,,,,,,,
2/22/2016,1924.44,1946.7,1924.44,1945.5,1.45%,0.0132%,0.0118%,0.0112%,0.35%,1.15%,0.00%,1.09%,0.00%,,,,,,,,
2/23/2016,1942.38,1942.38,1919.44,1921.27,-1.25%,0.0141%,0.0119%,0.0117%,-0.16%,0.00%,-1.19%,-1.09%,0.00%,,,,,,,,
2/24/2016,1917.56,1932.08,1891,1929.8,0.44%,0.0462%,0.0040%,0.0247%,-0.19%,0.75%,-1.39%,0.64%,0.03%,,,,,,,,
2/25/2016,1931.87,1951.83,1925.41,1951.7,1.13%,0.0186%,0.0104%,0.0133%,0.11%,1.03%,-0.33%,1.02%,0.00%,,,,,,,,
2/26/2016,1954.95,1962.96,1945.78,1948.05,-0.19%,0.0077%,0.0013%,0.0043%,0.17%,0.41%,-0.47%,-0.35%,0.00%,,,,,,,,
2/29/2016,1947.13,1958.27,1931.81,1932.23,-0.81%,0.0185%,0.0059%,0.0115%,-0.05%,0.57%,-0.79%,-0.77%,0.01%,,,,,,,,
3/1/2016,1937.09,1978.35,1937.09,1978.35,2.39%,0.0444%,0.0444%,0.0394%,0.25%,2.11%,0.00%,2.11%,0.00%,,,,,,,,
3/2/2016,1976.6,1986.51,1968.8,1986.45,0.41%,0.0080%,0.0025%,0.0050%,-0.09%,0.50%,-0.40%,0.50%,0.00%,,,,,,,,
3/3/2016,1985.6,1993.69,1977.37,1993.4,0.35%,0.0068%,0.0015%,0.0040%,-0.04%,0.41%,-0.42%,0.39%,0.00%,,,,,,,,
3/4/2016,1994.01,2009.13,1986.77,1999.99,0.33%,0.0125%,0.0009%,0.0066%,0.03%,0.76%,-0.36%,0.30%,0.01%,,,,,,,,
3/7/2016,1996.11,2006.12,1989.38,2001.76,0.09%,0.0070%,0.0008%,0.0038%,-0.19%,0.50%,-0.34%,0.28%,0.00%,,,,,,,,
3/8/2016,1996.88,1996.88,1977.43,1979.26,-1.12%,0.0096%,0.0079%,0.0078%,-0.24%,0.00%,-0.98%,-0.89%,0.00%,,,,,,,,
3/9/2016,1981.44,1992.69,1979.84,1989.26,0.51%,0.0042%,0.0016%,0.0027%,0.11%,0.57%,-0.08%,0.39%,0.00%,,,,,,,,
3/10/2016,1990.97,2005.08,1969.25,1989.57,0.02%,0.0325%,0.0000%,0.0163%,0.09%,0.71%,-1.10%,-0.07%,0.02%,,,,,,,,
3/11/2016,1994.71,2022.37,1994.71,2022.19,1.64%,0.0190%,0.0187%,0.0167%,0.26%,1.38%,0.00%,1.37%,0.00%,,,,,,,,
3/14/2016,2019.27,2024.57,2012.05,2019.64,-0.13%,0.0038%,0.0000%,0.0019%,-0.14%,0.26%,-0.36%,0.02%,0.00%,,,,,,,,
3/15/2016,2015.27,2015.94,2005.23,2015.93,-0.18%,0.0028%,0.0000%,0.0014%,-0.22%,0.03%,-0.50%,0.03%,0.00%,,,,,,,,
3/16/2016,2014.24,2032.02,2010.04,2027.22,0.56%,0.0118%,0.0041%,0.0075%,-0.08%,0.88%,-0.21%,0.64%,0.00%,,,,,,,,
3/17/2016,2026.9,2046.24,2022.16,2040.59,0.66%,0.0140%,0.0045%,0.0088%,-0.02%,0.95%,-0.23%,0.67%,0.00%,,,,,,,,
3/18/2016,2041.16,2052.36,2041.16,2049.58,0.44%,0.0030%,0.0017%,0.0022%,0.03%,0.55%,0.00%,0.41%,0.00%,,,,,,,,
3/21/2016,2047.88,2053.91,2043.14,2051.6,0.10%,0.0028%,0.0003%,0.0015%,-0.08%,0.29%,-0.23%,0.18%,0.00%,,,,,,,,
3/22/2016,2048.64,2056.6,2040.57,2049.8,-0.09%,0.0061%,0.0000%,0.0031%,-0.14%,0.39%,-0.39%,0.06%,0.00%,,,,,,,,
3/23/2016,2048.55,2048.55,2034.86,2036.71,-0.64%,0.0045%,0.0034%,0.0035%,-0.06%,0.00%,-0.67%,-0.58%,0.00%,,,,,,,,
3/24/2016,2032.48,2036.04,2022.49,2035.94,-0.04%,0.0045%,0.0003%,0.0023%,-0.21%,0.18%,-0.49%,0.17%,0.00%,,,,,,,,
3/28/2016,2037.89,2042.67,2031.96,2037.05,0.05%,0.0028%,0.0000%,0.0014%,0.10%,0.23%,-0.29%,-0.04%,0.00%,,,,,,,,
3/29/2016,2035.75,2055.91,2028.31,2055.01,0.88%,0.0183%,0.0089%,0.0126%,-0.06%,0.99%,-0.37%,0.94%,0.01%,,,,,,,,
3/30/2016,2058.27,2072.21,2058.27,2063.95,0.44%,0.0046%,0.0008%,0.0026%,0.16%,0.67%,0.00%,0.28%,0.00%,,,,,,,,
3/31/2016,2063.77,2067.92,2057.46,2059.74,-0.20%,0.0026%,0.0004%,0.0014%,-0.01%,0.20%,-0.31%,-0.20%,0.00%,,,,,,,,
4/1/2016,2056.62,2075.07,2043.98,2072.78,0.63%,0.0228%,0.0061%,0.0138%,-0.15%,0.89%,-0.62%,0.78%,0.01%,,,,,,,,
4/4/2016,2073.19,2074.02,2062.57,2066.13,-0.32%,0.0031%,0.0012%,0.0020%,0.02%,0.04%,-0.51%,-0.34%,0.00%,,,,,,,,
4/5/2016,2062.5,2062.5,2042.56,2045.17,-1.01%,0.0094%,0.0071%,0.0075%,-0.18%,0.00%,-0.97%,-0.84%,0.00%,,,,,,,,
4/6/2016,2045.56,2067.33,2043.09,2066.66,1.05%,0.0139%,0.0105%,0.0110%,0.02%,1.06%,-0.12%,1.03%,0.00%,,,,,,,,
4/7/2016,2063.01,2063.01,2033.8,2041.91,-1.20%,0.0203%,0.0106%,0.0143%,-0.18%,0.00%,-1.43%,-1.03%,0.01%,,,,,,,,
4/8/2016,2045.54,2060.63,2041.69,2047.6,0.28%,0.0085%,0.0001%,0.0043%,0.18%,0.73%,-0.19%,0.10%,0.01%,,,,,,,,
4/11/2016,2050.23,2062.93,2041.88,2041.99,-0.27%,0.0105%,0.0016%,0.0059%,0.13%,0.62%,-0.41%,-0.40%,0.01%,,,,,,,,
4/12/2016,2043.72,2065.05,2039.74,2061.72,0.97%,0.0152%,0.0077%,0.0106%,0.08%,1.04%,-0.19%,0.88%,0.00%,,,,,,,,
4/13/2016,2065.92,2083.18,2065.92,2082.42,1.00%,0.0069%,0.0063%,0.0059%,0.20%,0.83%,0.00%,0.80%,0.00%,,,,,,,,
4/14/2016,2082.89,2087.84,2078.13,2082.78,0.02%,0.0022%,0.0000%,0.0011%,0.02%,0.24%,-0.23%,-0.01%,0.00%,,,,,,,,
